epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.7291,0.18514,0.922,1,0.20146,0.000552742,0.000552742,0.000552742
2,61.4955,0.13714,0.922,1,0.2617,0.00109469,0.00109469,0.00109469
3,91.4203,0.18327,0.922,1,0.18266,0.00162289,0.00162289,0.00162289
4,121.133,0.16315,0.922,1,0.24455,0.00160511,0.00160511,0.00160511
5,150.892,0.12411,0.922,1,0.43652,0.00158448,0.00158448,0.00158448
6,180.638,0.11539,0.91888,1,0.19305,0.00156385,0.00156385,0.00156385
7,210.669,0.07932,0.922,1,0.25133,0.00154323,0.00154323,0.00154323
8,240.564,0.0932,0.922,1,0.39095,0.0015226,0.0015226,0.0015226
9,270.567,0.07328,0.922,1,0.20508,0.00150197,0.00150197,0.00150197
10,300.945,0.05806,0.922,1,0.26316,0.00148134,0.00148134,0.00148134
11,331.711,0.05493,0.922,1,0.2312,0.00146071,0.00146071,0.00146071
12,362.971,0.05738,0.922,1,0.38026,0.00144008,0.00144008,0.00144008
13,392.965,0.03623,0.91888,1,0.2027,0.00141945,0.00141945,0.00141945
14,422.75,0.06375,0.922,1,0.31441,0.00139882,0.00139882,0.00139882
15,452.641,0.05342,0.922,1,0.34651,0.00137819,0.00137819,0.00137819
16,482.359,0.03464,0.92044,1,0.21951,0.00135756,0.00135756,0.00135756
