epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.07951,0.18644,0.922,1,0.26324,0.000552742,0.000552742,0.000552742
2,14.4718,0.09069,0.922,1,0.31865,0.00109469,0.00109469,0.00109469
3,20.9245,0.11657,0.91264,1,0.17775,0.00162289,0.00162289,0.00162289
4,27.3951,0.07261,0.92044,1,0.19881,0.00160511,0.00160511,0.00160511
5,33.897,0.07176,0.92044,1,0.53906,0.00158448,0.00158448,0.00158448
6,40.2676,0.05947,0.922,1,0.4408,0.00156385,0.00156385,0.00156385
7,46.7314,0.05432,0.922,1,0.50357,0.00154323,0.00154323,0.00154323
8,53.2913,0.05006,0.922,1,0.41974,0.0015226,0.0015226,0.0015226
9,59.7572,0.02177,0.922,1,0.47214,0.00150197,0.00150197,0.00150197
10,66.1528,0.02829,0.922,1,0.48913,0.00148134,0.00148134,0.00148134
11,72.6038,0.02445,0.91108,1,0.74176,0.00146071,0.00146071,0.00146071
12,79.0758,0.02392,0.922,1,0.40758,0.00144008,0.00144008,0.00144008
13,85.5753,0.01388,0.922,1,0.44556,0.00141945,0.00141945,0.00141945
14,92.048,0.03884,0.922,1,0.60089,0.00139882,0.00139882,0.00139882
15,98.5394,0.01418,0.922,1,1.12813,0.00137819,0.00137819,0.00137819
16,105.097,0.01821,0.91576,1,0.40352,0.00135756,0.00135756,0.00135756
