train_loss,val_loss
3.133469501884334,6.147570905820819
1.9309221420352256,2.203479853229246
1.682149806871671,1.1580045615741308
1.19875873443256,1.121861032196793
1.567423012932882,0.7936975540242334
1.0436156013383728,0.5179656199786974
1.062303406358012,0.6213956840228343
0.8385528965831944,0.5948158540911432
0.7923686951090337,0.4638199898535791
0.6210425650280579,0.4279027190329372
0.6190029296322145,0.1974005564723326
0.5737969364438739,0.4342965038790219
0.65219035133812,0.2557021165671556
0.7324165689525644,0.2913820757868065
0.5745118402299427,0.24811614499143933
0.4946709414693386,0.17247185024662295
0.5245383369194548,0.2876567698583223
0.42248967221521583,0.15709658793133238
0.33318868322733225,0.19328420398675877
0.43614721517261756,0.18675023616979952
0.41013934942999736,0.20699018580110176
0.31261990628133896,0.17132895709811777
0.2899585055885354,0.1557497666419848
0.30275773814653756,0.1446199387959812
0.2860469652868144,0.1073160943561706
0.270316803924292,0.11466051756903745
0.3419635339059692,0.1265228387184333
0.24374063196543827,0.12090426649682331
0.20343155014342157,0.10270557541778122
0.2678495669587058,0.17112276877236107
0.27984030192667775,0.13325500223731648
0.23822607584676067,0.12883606906710326
0.21167811597109334,0.10465516490132912
0.23557803084915716,0.16851690784096718
