train_loss,val_loss,train_acc,val_acc
0.5672830408651143,0.485212833121203,0.6894409937888198,0.7971014492753623
0.38398506200831867,0.3142569499171298,0.8322981366459627,0.8985507246376812
0.3944539410480555,0.29257663134215534,0.8115942028985508,0.8840579710144928
0.373980985048148,0.21887328616086987,0.8488612836438924,0.9855072463768116
0.2802674032392956,0.27904267760290613,0.8881987577639752,0.8985507246376812
0.3073489763475106,0.3278934212698453,0.8757763975155279,0.855072463768116
0.33258180471434107,0.17549981565579123,0.8612836438923396,0.9565217391304348
0.2830599029982312,0.2032467170038085,0.8840579710144928,0.9855072463768116
0.2405419034987503,0.2046381027802177,0.9089026915113871,0.9710144927536232
0.2557072547528561,0.2509355268616607,0.8944099378881988,0.927536231884058
0.27628419216621986,0.19893916620724444,0.8819875776397516,0.9420289855072463
0.2308061262342007,0.19208989583927652,0.9151138716356108,0.9420289855072463
0.23396200033417647,0.19161439892174542,0.9109730848861284,0.9565217391304348
