epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.13750000298023224,2.1074106693267822,0.125,2.082077980041504,0.0005000000237487257
2,0.13750000298023224,2.0125675201416016,0.125,2.080758810043335,0.0005000000237487257
3,0.23749999701976776,2.001164674758911,0.125,2.0828380584716797,0.0005000000237487257
4,0.23749999701976776,1.8991835117340088,0.125,2.087388515472412,0.0005000000237487257
5,0.2874999940395355,1.8753916025161743,0.1875,2.0895161628723145,0.0005000000237487257
6,0.2874999940395355,1.8942245244979858,0.15625,2.0928220748901367,0.0005000000237487257
7,0.3125,1.8075014352798462,0.125,2.095338821411133,0.0002500000118743628
8,0.38749998807907104,1.7769054174423218,0.125,2.1004538536071777,0.0002500000118743628
9,0.3499999940395355,1.757983922958374,0.125,2.1029343605041504,0.0002500000118743628
10,0.4000000059604645,1.721095323562622,0.125,2.104309558868408,0.0002500000118743628
11,0.4749999940395355,1.6438477039337158,0.125,2.10488224029541,0.0001250000059371814
12,0.4749999940395355,1.5931642055511475,0.125,2.1066837310791016,0.0001250000059371814
13,0.48750001192092896,1.5923134088516235,0.125,2.106212615966797,0.0001250000059371814
