epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.16249999403953552,13.722750663757324,0.125,2.7001259326934814,0.0005000000237487257
2,0.17499999701976776,10.100110054016113,0.125,2.244025707244873,0.0005000000237487257
3,0.20000000298023224,6.047770977020264,0.15625,2.2083945274353027,0.0005000000237487257
4,0.26249998807907104,4.325143814086914,0.125,2.2353127002716064,0.0005000000237487257
5,0.26249998807907104,2.726832866668701,0.125,2.268442153930664,0.0005000000237487257
6,0.32499998807907104,1.8278181552886963,0.125,2.3476743698120117,0.0005000000237487257
7,0.26249998807907104,1.905068039894104,0.125,2.3996315002441406,0.0005000000237487257
8,0.36250001192092896,1.7510223388671875,0.125,2.455223560333252,0.0002500000118743628
9,0.3125,1.7347652912139893,0.125,2.5243515968322754,0.0002500000118743628
10,0.2874999940395355,1.9378286600112915,0.125,2.554594039916992,0.0002500000118743628
11,0.4375,1.6650835275650024,0.125,2.6178808212280273,0.0002500000118743628
