epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.04595,0.24117,0.922,1,0.21787,0.000552742,0.000552742,0.000552742
2,15.0386,0.10866,0.91888,1,0.32706,0.00109469,0.00109469,0.00109469
3,22.0013,0.12892,0.91732,1,0.28023,0.00162289,0.00162289,0.00162289
4,29.2554,0.09052,0.91888,1,0.23066,0.00160511,0.00160511,0.00160511
5,36.3864,0.07009,0.92044,1,0.3099,0.00158448,0.00158448,0.00158448
6,43.3537,0.09469,0.922,1,0.53576,0.00156385,0.00156385,0.00156385
7,50.3267,0.06256,0.91576,1,0.38476,0.00154323,0.00154323,0.00154323
8,57.252,0.04065,0.922,1,0.6017,0.0015226,0.0015226,0.0015226
9,64.4567,0.02586,0.92044,1,1.24755,0.00150197,0.00150197,0.00150197
10,71.418,0.03093,0.922,1,0.93337,0.00148134,0.00148134,0.00148134
11,78.5445,0.03465,0.922,1,0.77006,0.00146071,0.00146071,0.00146071
12,85.7612,0.02981,0.91888,1,0.50104,0.00144008,0.00144008,0.00144008
