train_loss,val_loss,train_acc,val_acc
0.6981310559355695,0.6957772685133893,0.515527950310559,0.5072463768115942
0.7040896060303872,0.6921591335448666,0.4720496894409938,0.5217391304347826
0.6978198162764002,0.6887427084687827,0.5093167701863354,0.5652173913043478
0.6961412760535135,0.6902871252833933,0.5300207039337475,0.5362318840579711
0.7026527004459137,0.6868996680646703,0.4927536231884058,0.5797101449275363
0.697754326691045,0.6886066803033801,0.5093167701863354,0.5362318840579711
0.6979047216737245,0.6908282689426256,0.5031055900621118,0.5362318840579711
0.6961900855937113,0.6833910657011945,0.4824016563146998,0.5797101449275363
0.6935113235290006,0.6909505033838577,0.5093167701863354,0.5362318840579711
0.6999764384443469,0.6876169978708461,0.4865424430641822,0.5362318840579711
0.6931607751619249,0.6920659524807031,0.525879917184265,0.5072463768115942
0.689105945220892,0.6897777871809144,0.5341614906832298,0.5217391304347826
