,precision,recall,f1-score,support
defect,1.0,0.028985507246376812,0.056338028169014086,69.0
non_defect,0.5073529411764706,1.0,0.6731707317073171,69.0
accuracy,0.5144927536231884,0.5144927536231884,0.5144927536231884,0.5144927536231884
macro avg,0.7536764705882353,0.5144927536231884,0.3647543799381656,138.0
weighted avg,0.7536764705882353,0.5144927536231884,0.36475437993816556,138.0
