,precision,recall,f1-score,support
defect,0.7068965517241379,0.5942028985507246,0.6456692913385826,69.0
non_defect,0.65,0.7536231884057971,0.697986577181208,69.0
accuracy,0.6739130434782609,0.6739130434782609,0.6739130434782609,0.6739130434782609
macro avg,0.6784482758620689,0.6739130434782609,0.6718279342598954,138.0
weighted avg,0.678448275862069,0.6739130434782609,0.6718279342598954,138.0
