model_name,accuracy,precision,recall,f1
cnn_elu,0.5942028985507246,0.552,1.0,0.711340206185567
cnn_relu,0.6739130434782609,0.65,0.7536231884057971,0.697986577181208
cnn_leaky_relu,0.5434782608695652,0.5227272727272727,1.0,0.6865671641791045
cnn_gelu,0.5144927536231884,0.5073529411764706,1.0,0.673170731707317
cnn_selu,0.5144927536231884,0.5073529411764706,1.0,0.673170731707317
