epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.10000000149011612,2.3171277046203613,0.15625,2.077719211578369,0.0010000000474974513
2,0.15000000596046448,2.085127830505371,0.25,2.070746898651123,0.0010000000474974513
3,0.36250001192092896,2.046978235244751,0.1875,2.0202651023864746,0.0010000000474974513
4,0.38749998807907104,1.8378031253814697,0.25,1.9471405744552612,0.0010000000474974513
5,0.5375000238418579,1.3640663623809814,0.375,2.079345464706421,0.0010000000474974513
6,0.625,1.0085928440093994,0.4375,2.087987184524536,0.0010000000474974513
7,0.7749999761581421,0.7471039295196533,0.34375,2.8654325008392334,0.0010000000474974513
8,0.800000011920929,0.5967939496040344,0.40625,2.4808404445648193,0.0010000000474974513
9,0.8500000238418579,0.4591730535030365,0.375,2.8866233825683594,0.0005000000237487257
10,0.925000011920929,0.19461670517921448,0.375,3.9077186584472656,0.0005000000237487257
11,0.9624999761581421,0.13311384618282318,0.4375,3.9805002212524414,0.0005000000237487257
12,0.9750000238418579,0.1165781170129776,0.40625,3.858046770095825,0.0005000000237487257
13,0.9624999761581421,0.11781390011310577,0.4375,3.7073612213134766,0.0002500000118743628
14,0.9750000238418579,0.11237771809101105,0.4375,3.926053762435913,0.0002500000118743628
